Vocabulary,P(not Spam),P(Spam)
tim,0.0004829362524146813,0.00014442518775274407
school,0.0014488087572440437,0.0004332755632582322
david,0.0009658725048293626,0.00014442518775274407
ece,0.0008048937540244687,0.00014442518775274407
seminar,0.00128783000643915,0.00014442518775274407
howard,0.0004829362524146813,0.00014442518775274407
computing,0.0011268512556342563,0.00028885037550548814
snowil,0.0004829362524146813,0.00014442518775274407
lopes,0.0004829362524146813,0.00014442518775274407
coffee,0.0003219575016097875,0.00028885037550548814
donuts,0.0003219575016097875,0.00014442518775274407
kiva,0.0003219575016097875,0.00014442518775274407
lending,0.0003219575016097875,0.00014442518775274407
messages,0.0003219575016097875,0.00014442518775274407
teams,0.0003219575016097875,0.00014442518775274407
itinerary,0.0003219575016097875,0.00014442518775274407
fwd,0.002736638763683194,0.0005777007510109763
14,0.000643915003219575,0.00014442518775274407
ct,0.0003219575016097875,0.00014442518775274407
priceline,0.0003219575016097875,0.00014442518775274407
december,0.0004829362524146813,0.00014442518775274407
saturday,0.0014488087572440437,0.0004332755632582322
hartford,0.0003219575016097875,0.00014442518775274407
360â°,0.0004829362524146813,0.00014442518775274407
grad,0.0011268512556342563,0.00014442518775274407
studentpostdoc,0.000643915003219575,0.00014442518775274407
highlights,0.000643915003219575,0.00014442518775274407
ecircular,0.000643915003219575,0.00014442518775274407
10â21,0.0003219575016097875,0.00014442518775274407
â,0.0008048937540244687,0.00028885037550548814
pd,0.000643915003219575,0.00014442518775274407
outage,0.0011268512556342563,0.0004332755632582322
palmetto,0.0009658725048293626,0.00014442518775274407
cluster,0.0003219575016097875,0.00014442518775274407
50,0.0004829362524146813,0.002166377816291161
own,0.0003219575016097875,0.00028885037550548814
thanks,0.00128783000643915,0.00028885037550548814
midterms,0.0004829362524146813,0.00014442518775274407
discount,0.0004829362524146813,0.0004332755632582322
apple,0.00128783000643915,0.0007221259387637204
car,0.0003219575016097875,0.0005777007510109763
resale,0.0003219575016097875,0.00014442518775274407
value,0.0003219575016097875,0.00028885037550548814
experience,0.0008048937540244687,0.0004332755632582322
papa,0.0003219575016097875,0.00028885037550548814
us,0.00128783000643915,0.0012998266897746968
about,0.0022537025112685126,0.0005777007510109763
johnâs,0.0003219575016097875,0.00014442518775274407
tell,0.0003219575016097875,0.00014442518775274407
course,0.000643915003219575,0.00014442518775274407
20192020,0.0008048937540244687,0.00014442518775274407
intermittent,0.0004829362524146813,0.00014442518775274407
student,0.006117192530585963,0.0012998266897746968
employees,0.0004829362524146813,0.00028885037550548814
awareness,0.0004829362524146813,0.00014442518775274407
gantt,0.0009658725048293626,0.00014442518775274407
chart,0.0003219575016097875,0.00014442518775274407
meeting,0.004024468770122344,0.0004332755632582322
hatlab,0.0003219575016097875,0.00014442518775274407
sep,0.0003219575016097875,0.0004332755632582322
welcome,0.0022537025112685126,0.002021952628538417
honey,0.0004829362524146813,0.00014442518775274407
visiting,0.0003219575016097875,0.00014442518775274407
benefitfocus,0.0003219575016097875,0.00014442518775274407
soc,0.0017707662588538314,0.0004332755632582322
upcoming,0.0017707662588538314,0.00028885037550548814
up,0.00128783000643915,0.0034662045060658577
out,0.0004829362524146813,0.002310803004043905
75,0.0003219575016097875,0.0005777007510109763
mayhem,0.0003219575016097875,0.00014442518775274407
vr,0.0003219575016097875,0.00014442518775274407
essentials,0.0003219575016097875,0.00028885037550548814
games,0.000643915003219575,0.00028885037550548814
miss,0.0009658725048293626,0.002021952628538417
lords,0.0003219575016097875,0.00014442518775274407
wolcen,0.0003219575016097875,0.00014442518775274407
store,0.000643915003219575,0.00014442518775274407
v10,0.0003219575016097875,0.00014442518775274407
humble,0.0003219575016097875,0.00014442518775274407
balance,0.000643915003219575,0.00028885037550548814
select,0.0003219575016097875,0.00014442518775274407
tigers,0.0004829362524146813,0.0011554015020219526
item,0.000643915003219575,0.00028885037550548814
65,0.0003219575016097875,0.00014442518775274407
mvp,0.0004829362524146813,0.00014442518775274407
specials,0.0004829362524146813,0.00014442518775274407
arrived,0.000643915003219575,0.0004332755632582322
wanted,0.0003219575016097875,0.0004332755632582322
individuals,0.0003219575016097875,0.00014442518775274407
motivated,0.0003219575016097875,0.00014442518775274407
taking,0.0003219575016097875,0.0005777007510109763
home,0.0004829362524146813,0.002021952628538417
surveys,0.0003219575016097875,0.00014442518775274407
